CRNN V3 Evaluation | Epoch 150
CharAcc=69.38% WordAcc=44.10% ExactMatch=45.14%
N GT:[ভারত] PR:[ভরত]
Y GT:[স্টীল] PR:[স্টীল]
Y GT:[এখানে] PR:[এখানে]
N GT:[সাবমার্সিবল-] PR:[আাবমাসিংলে]
Y GT:[বাজার] PR:[বাজার]
Y GT:[ভেতরে] PR:[ভেতরে]
Y GT:[আসুন] PR:[আসুন]
N GT:[সঙ্গীতা] PR:[সস্ীতা]
N GT:[ফ্রীজ] PR:[ফরীজ]
Y GT:[মেরামত] PR:[মেরামত]
Y GT:[সেন্টার] PR:[সেন্টার]
Y GT:[রবার] PR:[রবার]
N GT:[স্ট্যাম্প] PR:[স্ট্যার্প]
N GT:[মহাপ্রভু] PR:[মসহ্প্রভ]
Y GT:[টেলিকম] PR:[টেলিকম]
Y GT:[কম] PR:[কম]
Y GT:[দামে] PR:[দামে]
Y GT:[কিনুন] PR:[কিনুন]
Y GT:[মোবাইল] PR:[মোবাইল]
N GT:[যোগাযোগ-] PR:[যোগাযোগ]
N GT:[জন্য] PR:[জন্দ]
N GT:[বাড়ী] PR:[বাড়ি]
Y GT:[রং] PR:[রং]
Y GT:[ও] PR:[ও]
Y GT:[দেওয়াল] PR:[দেওয়াল]
Y GT:[লেখার] PR:[লেখার]
N GT:[যাত্রী] PR:[ঘা্ী]
Y GT:[প্রতিক্ষালয়] PR:[প্রতিক্ষালয়]
Y GT:[কেবল] PR:[কেবল]
N GT:[মাত্র] PR:[মাএন]
N GT:[যাত্রীদের] PR:[যান্নীদের]
N GT:[প্রোঃসাহেবলাই] PR:[প্োসাহেবলাহ]
Y GT:[পাটপুর] PR:[পাটপুর]
N GT:[সিহড়] PR:[সিহড়]
N GT:[বঁাকুড়া] PR:[বাঁকু়া]
N GT:[ভাণ্ডার] PR:[ভান্ভান]
N GT:[কৃষি] PR:[ক্লমঙ্ি]
Y GT:[ডাঃ] PR:[ডাঃ]
N GT:[সৌরভ] PR:[সৌরড়]
N GT:[আচার্য্য] PR:[আচা্য]
Y GT:[মহারাজ] PR:[মহারাজ]
Y GT:[টেলার্স] PR:[টেলার্স]
Y GT:[লেডিস] PR:[লেডিস]
N GT:[এণ্ড] PR:[এন্ড]
Y GT:[জেন্টস] PR:[জেন্টস]
Y GT:[কাশীনাথ] PR:[কাশীনাথ]
Y GT:[হালদার] PR:[হালদার]
Y GT:[কোতুলপুর,] PR:[কোতুলপুর,]
N GT:[পাশে,] PR:[পা্শে,]
N GT:[বাঁকুড়া] PR:[বাঁকুডা]
Y GT:[স্টেট] PR:[স্টেট]
Y GT:[ব্যাঙ্কের] PR:[ব্যাঙ্কের]
N GT:[টেলিকম] PR:[পলিকম]
Y GT:[প্রোঃ] PR:[প্রোঃ]
N GT:[কৃশানু] PR:[কূশানু]
Y GT:[চন্দ্র] PR:[চন্দ্র]
N GT:[প্রেসার-] PR:[প্পেসার-]
N GT:[কুকার] PR:[রুকার]
Y GT:[মেরামত] PR:[মেরামত]
Y GT:[ও] PR:[ও]
Y GT:[নতুন] PR:[নতুন]
Y GT:[বিক্রয়] PR:[বিক্রয়]
Y GT:[করা] PR:[করা]
Y GT:[হয়] PR:[হয়]
N GT:[শনিগুরু] PR:[শনিণ্ুর]
N GT:[স়হায়] PR:[সহায়]
N GT:[ফার্ণিচার] PR:[ফানণিচার]
N GT:[স্বাগতম্] PR:[স্াগতম]
N GT:[স্বাগতম্] PR:[শাগতম]
Y GT:[উপাদান] PR:[উপাদান]
Y GT:[সমস্ত] PR:[সমস্ত]
Y GT:[পাওয়া] PR:[পাওয়া]
Y GT:[যায়] PR:[যায়]
N GT:[পাশে,] PR:[পা্নে,]
Y GT:[তৈরীর] PR:[তৈরীর]
N GT:[৷] PR:[I]
N GT:[বাঁকুড়া] PR:[বাঁকুড়়া]
N GT:[সুলভ] PR:[সুলজ]
N GT:[মূল্যে] PR:[মূল]
Y GT:[পাওয়া] PR:[পাওয়া]
Y GT:[যায়।] PR:[যায়।]
N GT:[সাইকেল] PR:[কাহ্নেল]
N GT:[মল্লভূম] PR:[নন্্ন]
N GT:[এন্টরপ্রাইজ] PR:[জ্র্াইজ্]
N GT:[ওন্দা] PR:[পাে]
N GT:[পঞ্চায়েত] PR:[জানালপক]
N GT:[সমিতি] PR:[মলিধ]
N GT:[কার্য্যালয়] PR:[ন]
N GT:[মডার্ন] PR:[মডান]
Y GT:[দীপক] PR:[দীপক]
N GT:[অটো] PR:[আটী]
N GT:[সার্ভিস] PR:[সনাজভিস]
N GT:[থুতু] PR:[খুতু]
Y GT:[ফেলিবেন] PR:[ফেলিবেন]
Y GT:[না] PR:[না]
Y GT:[ওন্দা] PR:[ওন্দা]
N GT:[ব্লকে] PR:[রকে]
N GT:[সর্বপ্রথম] PR:[সর্্থম]
Y GT:[ও] PR:[ও]
N GT:[সর্ববৃহৎ] PR:[ববন্ধুহংহ]
N GT:[পান] PR:[পা১]
N GT:[দোকান] PR:[(স]
Y GT:[তামাক] PR:[তামাক]
N GT:[ক্যান্সারের] PR:[ক্যাসারের]
Y GT:[তার] PR:[তার]
N GT:[১৪ঃ২৩)] PR:[১৪৪৩৩)]
Y GT:[কাছে] PR:[কাছে]
Y GT:[আসব] PR:[আসব]
Y GT:[ও] PR:[ও]
Y GT:[তার] PR:[তার]
N GT:[সঙ্গেই] PR:[সস্েই]
Y GT:[বাস] PR:[বাস]
N GT:[করব।"] PR:[করবা]
N GT:[(যোহন] PR:[যোহন]
Y GT:[গল্প] PR:[গল্প]
Y GT:[করিবেন] PR:[করিবেন]
Y GT:[না] PR:[না]
Y GT:[অযথা] PR:[অযথা]
N GT:[মুক্তি] PR:[মুভি]
N GT:[কেন্দ্র] PR:[কেন্]
Y GT:[এখানে] PR:[এখানে]
Y GT:[লেডিস] PR:[লেডিস]
N GT:[হস্টেল] PR:[হস্েটল]
N GT:[ভাড়া] PR:[ভাড়া]
N GT:[দেওযা] PR:[দেওয়া]
Y GT:[হয়।] PR:[হয়।]
Y GT:[রোড,] PR:[রোড,]
Y GT:[ঠাকুর] PR:[ঠাকুর]
N GT:[গ্লাস] PR:[গরারস]
Y GT:[গোপাল] PR:[গোপাল]
Y GT:[লাল] PR:[লাল]
N GT:[তারা] PR:[তরা]
Y GT:[মা] PR:[মা]
Y GT:[কোল-] PR:[কোল-]
Y GT:[৩৫] PR:[৩৫]
N GT:[CPI(] PR:[৮খা]
N GT:[ML)] PR:[আ/৩]
N GT:[অর্চনা] PR:[আনা]
Y GT:[ঘটক] PR:[ঘটক]
Y GT:[কে] PR:[কে]
N GT:[কেন্দ্রে] PR:[কেন্ে]
Y GT:[বেলঘরিয়া,] PR:[বেলঘরিয়া,]
Y GT:[সরকার] PR:[সরকার]
N GT:[পোষিত)] PR:[পষিত)]
N GT:[সংহতি] PR:[সহহতি]
N GT:[পাঠাগার] PR:[লারঠাগার]
Y GT:[যতীনদাস] PR:[যতীনদাস]
N GT:[নগর,] PR:[নগার,]
Y GT:[সাধারণ] PR:[সাধারণ]
N GT:[৭০০০৫৬] PR:[৭০০০০৬]
N GT:[(পশ্চিমবঙ্গ] PR:[পপশ্চিমবঙ্গ]
N GT:[টিউটোরিয়ালস্] PR:[টিউটেরিয়ালস]
N GT:[বারাকপুর] PR:[বনিাকপর,]
Y GT:[৪১] PR:[৪১]
Y GT:[ফিডার] PR:[ফিডার]
Y GT:[রোড] PR:[রোড]
N GT:[সায়েন্স] PR:[সায়েল]
N GT:[এডুকেশন] PR:[এড়ুাকেশন]
N GT:[বিভাগে] PR:[কলজান্শ্]
N GT:[২২] PR:[হৃই]
Y GT:[অভিষেক] PR:[অভিষেক]
N GT:[পান] PR:[পানে]
N GT:[বর্ধমান] PR:[মঞ্ধ'্ানষস]
N GT:[হাওরা] PR:[স্ান্ন্]
N GT:[লোকাল] PR:[হলল্]
N GT:[রাই] PR:[বহইন]
Y GT:[কলিকাতা ৫৬] PR:[কলিকাতা ৫৬]
N GT:[মহামায়া কার সার্ভিস] PR:[অহামায়া কার সার্ভিস]
N GT:[এখানে # মাছ পাওয়া যায়] PR:[লেডি]
N GT:[কাউন্টার] PR:[পন্রন]
N GT:[মৎস্য] PR:[নন্া,]
N GT:[সৌজন্য] PR:[ললকোল]
N GT:[Rs] PR:[I]
N GT:[30p/পয়সা] PR:[অাত ৩৫]
N GT:[হাচ] PR:[লাল]
N GT:[ফোনে] PR:[হাড়]
N GT:[সি.আর.এভি] PR:[পা্িষযারগঙ্]
N GT:[তোমাদের] PR:[আ্দনের]
N GT:[শাখায়] PR:[হ্াবার]
Y GT:[সৌভাগ্য লটারী সেন্টার] PR:[সৌভাগ্য লটারী সেন্টার]
N GT:[সেন্টার] PR:[বাওা]
N GT:[রোড] PR:[ডি্]
N GT:[কলকাতা] PR:[কলকাত]
N GT:[পুরী হলিডে হোম] PR:[পু্বীহলিডেহোম]
N GT:[ড্রাইভ] PR:[য়ালিয়]
N GT:[ব্যাঙ্ক] PR:[ভভর্যযান্]
N GT:[ব্লক] PR:[/ল]
N GT:[গুনে] PR:[২]
N GT:[ছড়া] PR:[১৪]
N GT:[নাশক] PR:[জরণ)]
N GT:[কেয়া শেঠ] PR:[কম লই]
N GT:[SELLER] PR:[সমসRE]
N GT:[বাড়ীর] PR:[বা়৭]
N GT:[কলকাতা] PR:[ননডন]
N GT:[মোবাইল ৯৮৩০ ৮৬৭৯৯০] PR:[আোগননর]
N GT:[আপনার] PR:[আপনর]
N GT:[সময়] PR:[আয়ন]
N GT:[পূর্ত্ত] PR:[দরঙ্ত]
N GT:[দমদম  উপভুক্তি] PR:[অমদম ্পাভু্ভি]
N GT:[পি] PR:[নি]
N GT:[আর] PR:[ব্]
N GT:[মোবাইল ফোন] PR:[মোবাইলফোন]
N GT:[এবং] PR:[ববং]
N GT:[ঘন্টার] PR:[২৪ঘন্ট]
N GT:[delivery] PR:[Yalie]
N GT:[সুবন্দোবস্ত] PR:[সুবন্দবন্ত]
Y GT:[এবং] PR:[এবং]
Y GT:[ঘন্টার] PR:[ঘন্টার]
N GT:[মধ্যে] PR:[মধ্যে্য]
Y GT:[অনেক] PR:[অনেক]
N GT:[রিলায়েন্স] PR:[বিলায়েন]
Y GT:[আর] PR:[আর]
N GT:[বৈধ] PR:[বৈধ্]
Y GT:[এর] PR:[এর]
Y GT:[যত] PR:[যত]
N GT:[মোজা] PR:[মোজ]
N GT:[প্ল্যাটফর্ম] PR:[প্র্যাটফর্ম]
N GT:[দধি ভান্ডার] PR:[না্ি ভন্ভার]
N GT:[ও] PR:[দধ]
N GT:[চিত্তরঞ্জন] PR:[২৫]
N GT:[স্ট্রোক] PR:[দ্ক]
N GT:[গিরিরাজ] PR:[রার্ররাজা]
N GT:[মা] PR:[ম]
N GT:[জয়] PR:[ন]
N GT:[মা] PR:[ও]
N GT:[ট্রাভেলস] PR:[ট্রাভলস]
N GT:[দুপুর] PR:[পুপুর]
N GT:[আয়োজক] PR:[অশটি্]
N GT:[এবং] PR:[শ্োব১]
Y GT:[সেন্ট্রাল] PR:[সেন্ট্রাল]
N GT:[মেলা] PR:[মেলী]
N GT:[৩১শে] PR:[৩১৫]
N GT:[২০১৯] PR:[প০১স]
N GT:[প্রতিদিন] PR:[আপপনর]
N GT:[রাত্রি ৯.০০] PR:[আা১০০]
N GT:[ক্ষুদ্র] PR:[শুঙগ]
Y GT:[ছোট] PR:[ছোট]
N GT:[ও] PR:[ও্]
Y GT:[উদ্যোগ] PR:[উদ্যোগ]
Y GT:[সরকার] PR:[সরকার]
